subcircuit,top_instance,pin_number,library_port,top_level_net,direction,detail_sheet,element_count,default_parameters,instance_overrides
AARNN_SYNAPTIC_FILTER,XFILTER,1,RAW,raw,input,aarnn_synaptic_filter.sch,11,TAU_AMPA=5m TAU_NMDA=100m TAU_GABA=10m NMDA_RATIO=0.25 SYN_GAIN=1 NMDA_SENS=0.04 ACH_GAIN=1 CSTATE=1u,
AARNN_SYNAPTIC_FILTER,XFILTER,2,VM,vm,input,aarnn_synaptic_filter.sch,11,TAU_AMPA=5m TAU_NMDA=100m TAU_GABA=10m NMDA_RATIO=0.25 SYN_GAIN=1 NMDA_SENS=0.04 ACH_GAIN=1 CSTATE=1u,
AARNN_SYNAPTIC_FILTER,XFILTER,3,AMPA,ampa,output,aarnn_synaptic_filter.sch,11,TAU_AMPA=5m TAU_NMDA=100m TAU_GABA=10m NMDA_RATIO=0.25 SYN_GAIN=1 NMDA_SENS=0.04 ACH_GAIN=1 CSTATE=1u,
AARNN_SYNAPTIC_FILTER,XFILTER,4,NMDA,nmda,output,aarnn_synaptic_filter.sch,11,TAU_AMPA=5m TAU_NMDA=100m TAU_GABA=10m NMDA_RATIO=0.25 SYN_GAIN=1 NMDA_SENS=0.04 ACH_GAIN=1 CSTATE=1u,
AARNN_SYNAPTIC_FILTER,XFILTER,5,GABA,gaba,output,aarnn_synaptic_filter.sch,11,TAU_AMPA=5m TAU_NMDA=100m TAU_GABA=10m NMDA_RATIO=0.25 SYN_GAIN=1 NMDA_SENS=0.04 ACH_GAIN=1 CSTATE=1u,
AARNN_SYNAPTIC_FILTER,XFILTER,6,OUT,synout,output,aarnn_synaptic_filter.sch,11,TAU_AMPA=5m TAU_NMDA=100m TAU_GABA=10m NMDA_RATIO=0.25 SYN_GAIN=1 NMDA_SENS=0.04 ACH_GAIN=1 CSTATE=1u,
AARNN_SYNAPTIC_FILTER,XFILTER,7,VSS,0,analogue_reference,aarnn_synaptic_filter.sch,11,TAU_AMPA=5m TAU_NMDA=100m TAU_GABA=10m NMDA_RATIO=0.25 SYN_GAIN=1 NMDA_SENS=0.04 ACH_GAIN=1 CSTATE=1u,
AARNN_STP,XSTP,1,SPIKE,spk,input,aarnn_stp.sch,7,BASE_U=0.2 TAU_REC=800m TAU_FACIL=200m SPIKE_RATE=100k SPIKE_THRESHOLD=0.5 SPIKE_SMOOTH=0.01 CSTATE=1u,
AARNN_STP,XSTP,2,UTIL,util,output,aarnn_stp.sch,7,BASE_U=0.2 TAU_REC=800m TAU_FACIL=200m SPIKE_RATE=100k SPIKE_THRESHOLD=0.5 SPIKE_SMOOTH=0.01 CSTATE=1u,
AARNN_STP,XSTP,3,RES,res,output,aarnn_stp.sch,7,BASE_U=0.2 TAU_REC=800m TAU_FACIL=200m SPIKE_RATE=100k SPIKE_THRESHOLD=0.5 SPIKE_SMOOTH=0.01 CSTATE=1u,
AARNN_STP,XSTP,4,RELEASE,release,output,aarnn_stp.sch,7,BASE_U=0.2 TAU_REC=800m TAU_FACIL=200m SPIKE_RATE=100k SPIKE_THRESHOLD=0.5 SPIKE_SMOOTH=0.01 CSTATE=1u,
AARNN_STP,XSTP,5,VSS,0,analogue_reference,aarnn_stp.sch,7,BASE_U=0.2 TAU_REC=800m TAU_FACIL=200m SPIKE_RATE=100k SPIKE_THRESHOLD=0.5 SPIKE_SMOOTH=0.01 CSTATE=1u,
AARNN_ADAPTIVE_HOMEOSTASIS,XHOME,1,SPIKE,spk,input,aarnn_adaptive_homeostasis.sch,7,TAU_THRESH=200m THR_INC=0.5 THR_MIN=-2 THR_MAX=5 TAU_RATE=2 RATE_TARGET=0.003 HOMEOSTASIS_GAIN=0.25 SPIKE_RATE=100k SPIKE_SMOOTH=0.01 RATE_IMPULSE=0.0005 CSTATE=1u,
AARNN_ADAPTIVE_HOMEOSTASIS,XHOME,2,THRESH,thresh,output,aarnn_adaptive_homeostasis.sch,7,TAU_THRESH=200m THR_INC=0.5 THR_MIN=-2 THR_MAX=5 TAU_RATE=2 RATE_TARGET=0.003 HOMEOSTASIS_GAIN=0.25 SPIKE_RATE=100k SPIKE_SMOOTH=0.01 RATE_IMPULSE=0.0005 CSTATE=1u,
AARNN_ADAPTIVE_HOMEOSTASIS,XHOME,3,RATE,rate,output,aarnn_adaptive_homeostasis.sch,7,TAU_THRESH=200m THR_INC=0.5 THR_MIN=-2 THR_MAX=5 TAU_RATE=2 RATE_TARGET=0.003 HOMEOSTASIS_GAIN=0.25 SPIKE_RATE=100k SPIKE_SMOOTH=0.01 RATE_IMPULSE=0.0005 CSTATE=1u,
